entity_id,n_records,record_ids,mean_link_confidence,issues,flagged
144,2,"['nypl_1851_1852_doggetts_002551', 'nypl_1851_1852_doggetts_006240']",0.515,[],False
145,2,"['nypl_1851_1852_doggetts_002031', 'nypl_1851_1852_doggetts_004828']",0.52,[],False
146,2,"['nypl_1851_1852_doggetts_000889', 'nypl_1851_1852_doggetts_002093']",0.52,[],False
147,2,"['nypl_1851_1852_doggetts_000904', 'nypl_1851_1852_doggetts_005883']",0.52,[],False
148,2,"['nypl_1851_1852_doggetts_005400', 'nypl_1851_1852_doggetts_006555']",0.52,[],False
149,2,"['nypl_1851_1852_doggetts_001603', 'nypl_1851_1852_doggetts_001624']",0.91,['conflicting_occupation'],True
150,2,"['nypl_1851_1852_doggetts_002080', 'nypl_1851_1852_doggetts_004837']",0.535,[],False
151,2,"['nypl_1851_1852_doggetts_007182', 'nypl_1851_1852_doggetts_007294']",0.545,[],False
152,2,"['nypl_1851_1852_doggetts_003764', 'nypl_1851_1852_doggetts_005138']",0.54,['conflicting_occupation'],True
153,2,"['nypl_1851_1852_doggetts_004812', 'nypl_1851_1852_doggetts_005141']",0.52,[],False
154,2,"['nypl_1851_1852_doggetts_001201', 'nypl_1851_1852_doggetts_005536']",0.88,[],False
155,2,"['nypl_1851_1852_doggetts_003817', 'nypl_1851_1852_doggetts_005909']",0.565,[],False
156,2,"['nypl_1851_1852_doggetts_004989', 'nypl_1851_1852_doggetts_004992']",0.515,[],False
157,2,"['nypl_1851_1852_doggetts_004406', 'nypl_1851_1852_doggetts_004543']",0.54,[],False
158,2,"['nypl_1851_1852_doggetts_007039', 'nypl_1851_1852_doggetts_007067']",0.58,[],False
159,2,"['nypl_1851_1852_doggetts_003594', 'nypl_1851_1852_doggetts_003595']",0.54,['conflicting_occupation'],True
160,2,"['nypl_1851_1852_doggetts_000596', 'nypl_1851_1852_doggetts_003949']",0.57,[],False
161,2,"['nypl_1851_1852_doggetts_004607', 'nypl_1851_1852_doggetts_004728']",0.53,[],False
162,2,"['nypl_1851_1852_doggetts_005946', 'nypl_1851_1852_doggetts_005947']",0.6,[],False
163,2,"['nypl_1851_1852_doggetts_001807', 'nypl_1851_1852_doggetts_001809']",0.54,[],False
164,2,"['nypl_1851_1852_doggetts_002528', 'nypl_1851_1852_doggetts_006223']",0.54,[],False
165,2,"['nypl_1851_1852_doggetts_002694', 'nypl_1851_1852_doggetts_002714']",0.52,[],False
